PC(HEX)		Instruction(HEX)		R and EA(HEX)		Contents of R(HEX) and EA(HEX) BE 		Contents of R(HEX) and EA(HEX) AE
181			640			R5 CE			0 8182			214			R5 CD			5 4					5 214
183			F10			R5 196			5 5					5 F10
185			710			R5 196			5 5					FFA 710
186			720			R5 196			FFA 5					FFB 720
187			210			R5 196			FFB 5					FFB 210
188			30E			R5 197			FFB FFB					5 30E
189			110			R5 196			5 5					4 110
18A			F30			R5 199			4 FFF					4 F30
18C			10D			R5 199			4 FFF					3 10D
18D			F30			R5 199			3 FFF					3 F30
18F			307			R5 199			3 FFF					5 307
190			38A			R4 196			0 5					1 38A
191			7A0			R4 19A			1 1					2 7A0
192			288			R4 19A			2 1					2 288
193			790			R4 19A			2 2					FFD 790
194			7A0			R4 19A			FFD 2					FFE 7A0
195			283			R4 19A			FFE 2					FFE 283
196			409			R5 198			5 FFE					5 409
1A0			23B			R5 19F			5 23B					5 23B
1A1			137			R5 19B			5 5					3 137
1A2			F20			R5 198			3 FFE					3 F20
1A3			43C			R5 198			3 FFE					3 43C
1A0			23B			R5 19F			3 23B					3 23B
1A1			137			R5 19B			3 3					1 137
1A2			F20			R5 198			1 FFE					1 F20
1A3			43C			R5 198			1 FFE					1 43C
1A0			23B			R5 19F			1 23B					1 23B
1A1			137			R5 19B			1 1					FFF 137
1A2			F20			R5 198			FFF FFE					FFF F20
1A4			337			R5 198			FFF FFE					1 337
1A5			F30			R5 19B			1 1					1 F30
1A7			3B3			R4 19B			FFE 1					2 3B3
1A8			7A0			R4 19A			2 2					3 7A0
1A9			1AE			R4 19A			3 2					FFE 1AE
1AA			FC0			R4 197			FFE FFB					FFE FC0
1AB			423			R5 197			1 FFB					1 423
18F			307			R5 18E			1 307					5 307
190			38A			R4 196			FFE 5					2 38A
191			7A0			R4 19A			2 2					3 7A0
192			288			R4 19A			3 2					3 288
193			790			R4 19A			3 3					FFC 790
194			7A0			R4 19A			FFC 3					FFD 7A0
195			283			R4 19A			FFD 3					FFD 283
196			409			R5 198			5 FFD					5 409
1A0			23B			R5 19F			5 23B					5 23B
1A1			137			R5 19B			5 5					2 137
1A2			F20			R5 198			2 FFD					2 F20
1A3			43C			R5 198			2 FFD					2 43C
1A0			23B			R5 19F			2 23B					2 23B
1A1			137			R5 19B			2 2					FFF 137
1A2			F20			R5 198			FFF FFD					FFF F20
1A4			337			R5 198			FFF FFD					2 337
1A5			F30			R5 19B			2 2					2 F30
1A7			3B3			R4 19B			FFD 2					3 3B3
1A8			7A0			R4 19A			3 3					4 7A0
1A9			1AE			R4 19A			4 3					FFF 1AE
1AA			FC0			R4 197			FFF FFB					FFF FC0
1AB			423			R5 197			2 FFB					2 423
18F			307			R5 18E			2 307					5 307
190			38A			R4 196			FFF 5					3 38A
191			7A0			R4 19A			3 3					4 7A0
192			288			R4 19A			4 3					4 288
193			790			R4 19A			4 4					FFB 790
194			7A0			R4 19A			FFB 4					FFC 7A0
195			283			R4 19A			FFC 4					FFC 283
196			409			R5 198			5 FFC					5 409
1A0			23B			R5 19F			5 23B					5 23B
1A1			137			R5 19B			5 5					1 137
1A2			F20			R5 198			1 FFC					1 F20
1A3			43C			R5 198			1 FFC					1 43C
1A0			23B			R5 19F			1 23B					1 23B
1A1			137			R5 19B			1 1					FFD 137
1A2			F20			R5 198			FFD FFC					FFD F20
1A4			337			R5 198			FFD FFC					1 337
1A5			F30			R5 19B			1 1					1 F30
1A7			3B3			R4 19B			FFC 1					4 3B3
1A8			7A0			R4 19A			4 4					5 7A0
1A9			1AE			R4 19A			5 4					0 1AE
1AA			FC0			R4 197			0 FFB					0 FC0
1AC			330			R5 197			1 FFB					0 330
1AD			230			R5 19C			0 0					0 230
1AE			32F			R5 19D			0 0					0 32F
1AF			620			R5 19D			0 01B0			610			R5 CE			0 1021			740			R5 18A			0 8					0 740
22			216			R5 18A			0 8					0 216
23			392			R4 38			0 0					C 392
24			315			R5 35			0 C					70 315
25			212			R5 39			70 70					70 212
26			F20			R5 37			70 70					70 F20
27			403			R5 37			70 70					70 403
2B			18B			R4 2A			C 18B					B 18B
2C			FB0			R4 36			B FFF					B FB0
2E			309			R5 36			70 FFF					70 309
2F			704			R5 37			70 70					E0 704
30			434			R5 37			E0 70					E0 434
25			212			R5 24			E0 212					E0 212
26			F20			R5 37			E0 E0					E0 F20
27			403			R5 37			E0 E0					E0 403
2B			18B			R4 2A			B 18B					A 18B
2C			FB0			R4 36			A FFF					A FB0
2E			309			R5 36			E0 FFF					E0 309
2F			704			R5 37			E0 E0					1C0 704
30			434			R5 37			1C0 E0					1C0 434
25			212			R5 24			1C0 212					1C0 212
26			F20			R5 37			1C0 1C0					1C0 F20
27			403			R5 37			1C0 1C0					1C0 403
2B			18B			R4 2A			A 18B					9 18B
2C			FB0			R4 36			9 FFF					9 FB0
2E			309			R5 36			1C0 FFF					1C0 309
2F			704			R5 37			1C0 1C0					380 704
30			434			R5 37			380 1C0					380 434
25			212			R5 24			380 212					380 212
26			F20			R5 37			380 380					380 F20
27			403			R5 37			380 380					380 403
2B			18B			R4 2A			9 18B					8 18B
